fipscode,level,precinctsreportingpct,last,votepct
,national,1.0,Trump,0.464175
,national,1.0,Clinton,0.485316
,national,1.0,Johnson,0.033084
,national,1.0,Stein,0.010536
,national,1.0,McMullin,0.003759
,national,1.0,Castle,0.001375
,national,1.0,La Riva,0.000546
,national,1.0,De La Fuente,0.000243
,national,1.0,None of these candidates,0.000213
,national,1.0,Duncan,0.000179
,national,1.0,Vacek,0.0001
,national,1.0,Kennedy,9.2e-05
,national,1.0,Smith,6.7e-05
,national,1.0,Keniston,5.1e-05
,national,1.0,Kahn,4.2e-05
,national,1.0,Hedges,4.1e-05
,national,1.0,Moorehead,3e-05
,national,1.0,Skewes,2.4e-05
,national,1.0,Giordani,2e-05
,national,1.0,Soltysik,1.8e-05
,national,1.0,Copeland,1.7e-05
,national,1.0,Hoefling,1.7e-05
,national,1.0,Kotlikoff,1.1e-05
,national,1.0,Kopitke,8e-06
,national,1.0,Maldonado,6e-06
,national,1.0,Maturen,6e-06
,national,1.0,Silva,6e-06
,national,1.0,Jacob,6e-06
,national,1.0,Scott,6e-06
,national,1.0,Lyttle,3e-06
,national,1.0,White,3e-06
,national,1.0,Atwood,2e-06
,state,1.0,Trump,0.528065
,state,1.0,Clinton,0.376378
,state,1.0,Johnson,0.060519
,state,1.0,Stein,0.018535
,state,1.0,Castle,0.012495
,state,1.0,De La Fuente,0.004008
02000,FIPSCode,1.0,Trump,0.528065
02000,FIPSCode,1.0,Clinton,0.376378
02000,FIPSCode,1.0,Johnson,0.060519
02000,FIPSCode,1.0,Stein,0.018535
02000,FIPSCode,1.0,Castle,0.012495
02000,FIPSCode,1.0,De La Fuente,0.004008
,state,1.0,Trump,0.627245
,state,1.0,Clinton,0.347129
,state,1.0,Johnson,0.021158
,state,1.0,Stein,0.004468
01001,FIPSCode,1.0,Trump,0.733955
01001,FIPSCode,1.0,Clinton,0.239751
01001,FIPSCode,1.0,Johnson,0.022053
01001,FIPSCode,1.0,Stein,0.004241
01003,FIPSCode,1.0,Trump,0.773204
01003,FIPSCode,1.0,Clinton,0.195818
01003,FIPSCode,1.0,Johnson,0.02614
01003,FIPSCode,1.0,Stein,0.004838
01005,FIPSCode,1.0,Trump,0.522614
01005,FIPSCode,1.0,Clinton,0.46675
01005,FIPSCode,1.0,Johnson,0.008911
01005,FIPSCode,1.0,Stein,0.001725
01007,FIPSCode,1.0,Trump,0.769793
01007,FIPSCode,1.0,Clinton,0.214098
01007,FIPSCode,1.0,Johnson,0.014167
01007,FIPSCode,1.0,Stein,0.001942
01009,FIPSCode,1.0,Trump,0.898475
01009,FIPSCode,1.0,Clinton,0.084742
01009,FIPSCode,1.0,Johnson,0.013285
01009,FIPSCode,1.0,Stein,0.003498
01011,FIPSCode,1.0,Trump,0.24245
01011,FIPSCode,1.0,Clinton,0.750744
01011,FIPSCode,1.0,Johnson,0.004679
01011,FIPSCode,1.0,Stein,0.002127
01013,FIPSCode,1.0,Trump,0.56301
01013,FIPSCode,1.0,Clinton,0.42803
01013,FIPSCode,1.0,Johnson,0.007467
01013,FIPSCode,1.0,Stein,0.001493
01015,FIPSCode,1.0,Trump,0.692113
01015,FIPSCode,1.0,Clinton,0.278867
01015,FIPSCode,1.0,Johnson,0.023502
01015,FIPSCode,1.0,Stein,0.005518
01017,FIPSCode,1.0,Trump,0.566732
01017,FIPSCode,1.0,Clinton,0.417949
01017,FIPSCode,1.0,Johnson,0.01214
01017,FIPSCode,1.0,Stein,0.003179
01019,FIPSCode,1.0,Trump,0.838846
01019,FIPSCode,1.0,Clinton,0.144945
01019,FIPSCode,1.0,Johnson,0.013773
01019,FIPSCode,1.0,Stein,0.002436
01021,FIPSCode,1.0,Trump,0.825361
01021,FIPSCode,1.0,Clinton,0.159315
01021,FIPSCode,1.0,Johnson,0.012478
01021,FIPSCode,1.0,Stein,0.002846
01023,FIPSCode,1.0,Trump,0.564554
01023,FIPSCode,1.0,Clinton,0.427471
01023,FIPSCode,1.0,Johnson,0.00715
01023,FIPSCode,1.0,Stein,0.000825
01025,FIPSCode,1.0,Trump,0.54902
01025,FIPSCode,1.0,Clinton,0.442061
01025,FIPSCode,1.0,Johnson,0.007612
01025,FIPSCode,1.0,Stein,0.001307
01027,FIPSCode,1.0,Trump,0.795782
01027,FIPSCode,1.0,Clinton,0.18768
01027,FIPSCode,1.0,Johnson,0.01411
01027,FIPSCode,1.0,Stein,0.002428
01029,FIPSCode,1.0,Trump,0.878927
01029,FIPSCode,1.0,Clinton,0.1043
01029,FIPSCode,1.0,Johnson,0.013724
01029,FIPSCode,1.0,Stein,0.00305
01031,FIPSCode,1.0,Trump,0.770781
01031,FIPSCode,1.0,Clinton,0.204943
01031,FIPSCode,1.0,Johnson,0.019227
01031,FIPSCode,1.0,Stein,0.00505
01033,FIPSCode,1.0,Trump,0.678635
01033,FIPSCode,1.0,Clinton,0.29632
01033,FIPSCode,1.0,Johnson,0.020708
01033,FIPSCode,1.0,Stein,0.004336
01035,FIPSCode,1.0,Trump,0.521262
01035,FIPSCode,1.0,Clinton,0.469441
01035,FIPSCode,1.0,Johnson,0.007773
01035,FIPSCode,1.0,Stein,0.001524
01037,FIPSCode,1.0,Trump,0.646463
01037,FIPSCode,1.0,Clinton,0.340727
01037,FIPSCode,1.0,Johnson,0.010134
01037,FIPSCode,1.0,Stein,0.002677
01039,FIPSCode,1.0,Trump,0.835822
01039,FIPSCode,1.0,Clinton,0.150381
01039,FIPSCode,1.0,Johnson,0.011529
01039,FIPSCode,1.0,Stein,0.002268
01041,FIPSCode,1.0,Trump,0.721387
01041,FIPSCode,1.0,Clinton,0.265985
01041,FIPSCode,1.0,Johnson,0.01039
01041,FIPSCode,1.0,Stein,0.002238
01043,FIPSCode,1.0,Trump,0.87718
01043,FIPSCode,1.0,Clinton,0.100989
01043,FIPSCode,1.0,Johnson,0.018267
01043,FIPSCode,1.0,Stein,0.003563
01045,FIPSCode,1.0,Trump,0.741051
01045,FIPSCode,1.0,Clinton,0.236838
01045,FIPSCode,1.0,Johnson,0.018784
01045,FIPSCode,1.0,Stein,0.003327
01047,FIPSCode,1.0,Trump,0.308829
01047,FIPSCode,1.0,Clinton,0.684769
01047,FIPSCode,1.0,Johnson,0.005121
01047,FIPSCode,1.0,Stein,0.00128
01049,FIPSCode,1.0,Trump,0.834926
01049,FIPSCode,1.0,Clinton,0.14128
01049,FIPSCode,1.0,Johnson,0.017865
01049,FIPSCode,1.0,Stein,0.005929
01051,FIPSCode,1.0,Trump,0.748341
01051,FIPSCode,1.0,Clinton,0.22864
01051,FIPSCode,1.0,Johnson,0.019985
01051,FIPSCode,1.0,Stein,0.003033
01053,FIPSCode,1.0,Trump,0.672875
01053,FIPSCode,1.0,Clinton,0.311886
01053,FIPSCode,1.0,Johnson,0.012733
01053,FIPSCode,1.0,Stein,0.002506
01055,FIPSCode,1.0,Trump,0.738754
01055,FIPSCode,1.0,Clinton,0.238434
01055,FIPSCode,1.0,Johnson,0.019067
01055,FIPSCode,1.0,Stein,0.003745
01057,FIPSCode,1.0,Trump,0.817838
01057,FIPSCode,1.0,Clinton,0.165956
01057,FIPSCode,1.0,Johnson,0.013281
01057,FIPSCode,1.0,Stein,0.002924
01059,FIPSCode,1.0,Trump,0.791803
01059,FIPSCode,1.0,Clinton,0.183772
01059,FIPSCode,1.0,Johnson,0.019908
01059,FIPSCode,1.0,Stein,0.004517
01061,FIPSCode,1.0,Trump,0.854772
01061,FIPSCode,1.0,Clinton,0.130431
01061,FIPSCode,1.0,Johnson,0.012744
01061,FIPSCode,1.0,Stein,0.002053
01063,FIPSCode,1.0,Trump,0.172109
01063,FIPSCode,1.0,Clinton,0.824194
01063,FIPSCode,1.0,Johnson,0.00267
01063,FIPSCode,1.0,Stein,0.001027
01065,FIPSCode,1.0,Trump,0.395932
01065,FIPSCode,1.0,Clinton,0.595832
01065,FIPSCode,1.0,Johnson,0.006738
01065,FIPSCode,1.0,Stein,0.001497
01067,FIPSCode,1.0,Trump,0.701195
01067,FIPSCode,1.0,Clinton,0.285359
01067,FIPSCode,1.0,Johnson,0.01133
01067,FIPSCode,1.0,Stein,0.002117
01069,FIPSCode,1.0,Trump,0.726173
01069,FIPSCode,1.0,Clinton,0.252015
01069,FIPSCode,1.0,Johnson,0.01841
01069,FIPSCode,1.0,Stein,0.003403
01071,FIPSCode,1.0,Trump,0.800461
01071,FIPSCode,1.0,Clinton,0.176349
01071,FIPSCode,1.0,Johnson,0.018869
01071,FIPSCode,1.0,Stein,0.004321
01073,FIPSCode,1.0,Trump,0.449466
01073,FIPSCode,1.0,Clinton,0.523189
01073,FIPSCode,1.0,Johnson,0.022162
01073,FIPSCode,1.0,Stein,0.005183
01075,FIPSCode,1.0,Trump,0.839533
01075,FIPSCode,1.0,Clinton,0.149366
01075,FIPSCode,1.0,Johnson,0.008939
01075,FIPSCode,1.0,Stein,0.002163
01077,FIPSCode,1.0,Trump,0.71426
01077,FIPSCode,1.0,Clinton,0.254788
01077,FIPSCode,1.0,Johnson,0.025269
01077,FIPSCode,1.0,Stein,0.005684
01079,FIPSCode,1.0,Trump,0.734889
01079,FIPSCode,1.0,Clinton,0.246048
01079,FIPSCode,1.0,Johnson,0.01696
01079,FIPSCode,1.0,Stein,0.002103
01081,FIPSCode,1.0,Trump,0.594375
01081,FIPSCode,1.0,Clinton,0.36452
01081,FIPSCode,1.0,Johnson,0.034855
01081,FIPSCode,1.0,Stein,0.00625
01083,FIPSCode,1.0,Trump,0.730473
01083,FIPSCode,1.0,Clinton,0.237937
01083,FIPSCode,1.0,Johnson,0.026513
01083,FIPSCode,1.0,Stein,0.005076
01085,FIPSCode,1.0,Trump,0.262244
01085,FIPSCode,1.0,Clinton,0.731316
01085,FIPSCode,1.0,Johnson,0.004793
01085,FIPSCode,1.0,Stein,0.001647
01087,FIPSCode,1.0,Trump,0.156994
01087,FIPSCode,1.0,Clinton,0.83006
01087,FIPSCode,1.0,Johnson,0.00757
01087,FIPSCode,1.0,Stein,0.005376
01089,FIPSCode,1.0,Trump,0.558742
01089,FIPSCode,1.0,Clinton,0.392106
01089,FIPSCode,1.0,Johnson,0.041325
01089,FIPSCode,1.0,Stein,0.007827
01091,FIPSCode,1.0,Trump,0.477246
01091,FIPSCode,1.0,Clinton,0.512084
01091,FIPSCode,1.0,Johnson,0.009485
01091,FIPSCode,1.0,Stein,0.001186
01093,FIPSCode,1.0,Trump,0.873074
01093,FIPSCode,1.0,Clinton,0.110896
01093,FIPSCode,1.0,Johnson,0.014017
01093,FIPSCode,1.0,Stein,0.002013
01095,FIPSCode,1.0,Trump,0.835563
01095,FIPSCode,1.0,Clinton,0.140542
01095,FIPSCode,1.0,Johnson,0.019379
01095,FIPSCode,1.0,Stein,0.004516
01097,FIPSCode,1.0,Trump,0.554988
01097,FIPSCode,1.0,Clinton,0.421195
01097,FIPSCode,1.0,Johnson,0.019202
01097,FIPSCode,1.0,Stein,0.004615
01099,FIPSCode,1.0,Trump,0.56636
01099,FIPSCode,1.0,Clinton,0.423378
01099,FIPSCode,1.0,Johnson,0.0086
01099,FIPSCode,1.0,Stein,0.001661
01101,FIPSCode,1.0,Trump,0.358322
01101,FIPSCode,1.0,Clinton,0.620855
01101,FIPSCode,1.0,Johnson,0.015659
01101,FIPSCode,1.0,Stein,0.005164
01103,FIPSCode,1.0,Trump,0.747835
01103,FIPSCode,1.0,Clinton,0.224514
01103,FIPSCode,1.0,Johnson,0.023301
01103,FIPSCode,1.0,Stein,0.004349
01105,FIPSCode,1.0,Trump,0.26749
01105,FIPSCode,1.0,Clinton,0.726996
01105,FIPSCode,1.0,Johnson,0.004373
01105,FIPSCode,1.0,Stein,0.001141
01107,FIPSCode,1.0,Trump,0.574558
01107,FIPSCode,1.0,Clinton,0.418281
01107,FIPSCode,1.0,Johnson,0.00516
01107,FIPSCode,1.0,Stein,0.002001
01109,FIPSCode,1.0,Trump,0.589321
01109,FIPSCode,1.0,Clinton,0.387314
01109,FIPSCode,1.0,Johnson,0.019687
01109,FIPSCode,1.0,Stein,0.003677
01111,FIPSCode,1.0,Trump,0.759937
01111,FIPSCode,1.0,Clinton,0.225959
01111,FIPSCode,1.0,Johnson,0.01223
01111,FIPSCode,1.0,Stein,0.001874
01113,FIPSCode,1.0,Trump,0.481242
01113,FIPSCode,1.0,Clinton,0.500523
01113,FIPSCode,1.0,Johnson,0.014683
01113,FIPSCode,1.0,Stein,0.003553
01115,FIPSCode,1.0,Trump,0.831739
01115,FIPSCode,1.0,Clinton,0.14687
01115,FIPSCode,1.0,Johnson,0.017974
01115,FIPSCode,1.0,Stein,0.003416
01117,FIPSCode,1.0,Trump,0.734297
01117,FIPSCode,1.0,Clinton,0.231059
01117,FIPSCode,1.0,Johnson,0.029816
01117,FIPSCode,1.0,Stein,0.004827
01119,FIPSCode,1.0,Trump,0.247108
01119,FIPSCode,1.0,Clinton,0.741794
01119,FIPSCode,1.0,Johnson,0.008909
01119,FIPSCode,1.0,Stein,0.002188
01121,FIPSCode,1.0,Trump,0.619933
01121,FIPSCode,1.0,Clinton,0.364519
01121,FIPSCode,1.0,Johnson,0.01236
01121,FIPSCode,1.0,Stein,0.003188
01123,FIPSCode,1.0,Trump,0.700794
01123,FIPSCode,1.0,Clinton,0.284514
01123,FIPSCode,1.0,Johnson,0.012012
01123,FIPSCode,1.0,Stein,0.002681
01125,FIPSCode,1.0,Trump,0.583782
01125,FIPSCode,1.0,Clinton,0.388535
01125,FIPSCode,1.0,Johnson,0.022912
01125,FIPSCode,1.0,Stein,0.004771
01127,FIPSCode,1.0,Trump,0.827824
01127,FIPSCode,1.0,Clinton,0.153413
01127,FIPSCode,1.0,Johnson,0.015522
01127,FIPSCode,1.0,Stein,0.003241
01129,FIPSCode,1.0,Trump,0.709905
01129,FIPSCode,1.0,Clinton,0.278933
01129,FIPSCode,1.0,Johnson,0.008577
01129,FIPSCode,1.0,Stein,0.002585
01131,FIPSCode,1.0,Trump,0.285106
01131,FIPSCode,1.0,Clinton,0.710147
01131,FIPSCode,1.0,Johnson,0.003601
01131,FIPSCode,1.0,Stein,0.001146
01133,FIPSCode,1.0,Trump,0.899415
01133,FIPSCode,1.0,Clinton,0.08499
01133,FIPSCode,1.0,Johnson,0.012768
01133,FIPSCode,1.0,Stein,0.002827
,state,1.0,Trump,0.605741
,state,1.0,Clinton,0.336531
,state,1.0,Johnson,0.026383
,state,1.0,McMullin,0.011724
,state,1.0,Stein,0.008378
,state,1.0,Hedges,0.004165
,state,1.0,Castle,0.00408
,state,1.0,Kahn,0.002998
05001,FIPSCode,1.0,Trump,0.615905
05001,FIPSCode,1.0,Clinton,0.312138
05001,FIPSCode,1.0,Hedges,0.02141
05001,FIPSCode,1.0,Johnson,0.020283
05001,FIPSCode,1.0,Stein,0.010303
05001,FIPSCode,1.0,McMullin,0.007083
05001,FIPSCode,1.0,Castle,0.006439
05001,FIPSCode,1.0,Kahn,0.006439
05003,FIPSCode,1.0,Trump,0.660398
05003,FIPSCode,1.0,Clinton,0.297909
05003,FIPSCode,1.0,Johnson,0.0193
05003,FIPSCode,1.0,McMullin,0.006928
05003,FIPSCode,1.0,Stein,0.004206
05003,FIPSCode,1.0,Hedges,0.004083
05003,FIPSCode,1.0,Castle,0.003835
05003,FIPSCode,1.0,Kahn,0.00334
05005,FIPSCode,1.0,Trump,0.742791
05005,FIPSCode,1.0,Clinton,0.210918
05005,FIPSCode,1.0,Johnson,0.022868
05005,FIPSCode,1.0,McMullin,0.007994
05005,FIPSCode,1.0,Stein,0.007083
05005,FIPSCode,1.0,Castle,0.0043
05005,FIPSCode,1.0,Kahn,0.002125
05005,FIPSCode,1.0,Hedges,0.001922
05007,FIPSCode,1.0,Trump,0.628677
05007,FIPSCode,1.0,Clinton,0.289236
05007,FIPSCode,1.0,Johnson,0.03998
05007,FIPSCode,1.0,McMullin,0.023889
05007,FIPSCode,1.0,Stein,0.009801
05007,FIPSCode,1.0,Castle,0.003532
05007,FIPSCode,1.0,Hedges,0.002882
05007,FIPSCode,1.0,Kahn,0.002004
05009,FIPSCode,1.0,Trump,0.759419
05009,FIPSCode,1.0,Clinton,0.181615
05009,FIPSCode,1.0,Johnson,0.023524
05009,FIPSCode,1.0,McMullin,0.011545
05009,FIPSCode,1.0,Stein,0.008317
05009,FIPSCode,1.0,Castle,0.006517
