id,raceid,racetype,racetypeid,ballotorder,candidateid,description,delegatecount,electiondate,electtotal,electwon,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
1683-polid-3610-state-AL-1,1683,Special General,G,1,5192,,0,2017-12-12,0,0,,Doug,False,False,False,Jones,2017-11-29T19:30:25.020Z,state,True,S,U.S. Senate,Dem,3610,3503,2220,1.0,2220,state-AL-1,,False,,,Alabama,AL,True,False,888522,0.45,True
1683-polid-3821-state-AL-1,1683,Special General,G,2,5202,,0,2017-12-12,0,0,,Roy,False,False,False,Moore,2017-11-29T19:30:25.020Z,state,True,S,U.S. Senate,GOP,3821,2200,2220,1.0,2220,state-AL-1,,False,,,Alabama,AL,True,False,789797,0.4,False
1683-polid-100008-state-AL-1,1683,Special General,G,3,5206,,0,2017-12-12,0,0,,,False,False,False,Total Write-Ins,2017-11-29T19:30:25.020Z,state,True,S,U.S. Senate,NPD,100008,3512,2220,1.0,2220,state-AL-1,,False,,,Alabama,AL,True,False,296173,0.15,False
1683-polid-3610-county-1001,1683,Special General,G,1,5192,,0,2017-12-12,0,0,01001,Doug,False,False,False,Jones,2017-11-29T19:29:20.557Z,county,True,S,U.S. Senate,Dem,3610,3503,18,1.0,18,county-1001,Autauga,False,,,Alabama,AL,True,False,10035,0.433328,True
1683-polid-3821-county-1001,1683,Special General,G,2,5202,,0,2017-12-12,0,0,01001,Roy,False,False,False,Moore,2017-11-29T19:29:20.557Z,county,True,S,U.S. Senate,GOP,3821,2200,18,1.0,18,county-1001,Autauga,False,,,Alabama,AL,True,False,9568,0.413162,False
1683-polid-100008-county-1001,1683,Special General,G,3,5206,,0,2017-12-12,0,0,01001,,False,False,False,Total Write-Ins,2017-11-29T19:29:20.557Z,county,True,S,U.S. Senate,NPD,100008,3512,18,1.0,18,county-1001,Autauga,False,,,Alabama,AL,True,False,3555,0.153511,False
1683-polid-3610-county-1002,1683,Special General,G,1,5192,,0,2017-12-12,0,0,01003,Doug,False,False,False,Jones,2017-11-29T19:29:20.557Z,county,True,S,U.S. Senate,Dem,3610,3503,47,1.0,47,county-1002,Baldwin,False,,,Alabama,AL,True,False,39914,0.448376,True
1683-polid-3821-county-1002,1683,Special General,G,2,5202,,0,2017-12-12,0,0,01003,Roy,False,False,False,Moore,2017-11-29T19:29:20.557Z,county,True,S,U.S. Senate,GOP,3821,2200,47,1.0,47,county-1002,Baldwin,False,,,Alabama,AL,True,False,34881,0.391838,False
1683-polid-100008-county-1002,1683,Special General,G,3,5206,,0,2017-12-12,0,0,01003,,False,False,False,Total Write-Ins,2017-11-29T19:29:20.557Z,county,True,S,U.S. Senate,NPD,100008,3512,47,1.0,47,county-1002,Baldwin,False,,,Alabama,AL,True,False,14224,0.159786,False
1683-polid-3610-county-1003,1683,Special General,G,1,5192,,0,2017-12-12,0,0,01005,Doug,False,False,False,Jones,2017-11-29T19:29:20.557Z,county,True,S,U.S. Senate,Dem,3610,3503,17,1.0,17,county-1003,Barbour,False,,,Alabama,AL,True,False,4810,0.48576,True
