LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
CN0100100000000,01,001,"Autauga County, AL",2015,"25,308     ","23,981     ","1,327     ",5.2     
CN0100300000000,01,003,"Baldwin County, AL",2015,"87,316     ","82,525     ","4,791     ",5.5
CN0100500000000,01,005,"Barbour County, AL",2015,"8,625     ","7,854     ",771     ,8.9
CN0100700000000,01,007,"Bibb County, AL",2015,"8,490     ","7,929     ",561     ,6.6
CN0100900000000,01,009,"Blount County, AL",2015,"24,352     ","23,036     ","1,316     ",5.4
CN0101100000000,01,011,"Bullock County, AL",2015,"4,773     ","4,402     ",371     ,7.8
CN0101300000000,01,013,"Butler County, AL",2015,"9,142     ","8,452     ",690     ,7.5
CN0101500000000,01,015,"Calhoun County, AL",2015,"46,051     ","42,837     ","3,214     ",7.0
CN0101700000000,01,017,"Chambers County, AL",2015,"15,100     ","14,192     ",908     ,6.0
CN0101900000000,01,019,"Cherokee County, AL",2015,"11,197     ","10,588     ",609     ,5.4
CN0102100000000,01,021,"Chilton County, AL",2015,"19,021     ","17,943     ","1,078     ",5.7
CN0102300000000,01,023,"Choctaw County, AL",2015,"4,378     ","3,979     ",399     ,9.1
CN0102500000000,01,025,"Clarke County, AL",2015,"7,994     ","7,054     ",940     ,11.8
CN0102700000000,01,027,"Clay County, AL",2015,"5,526     ","5,186     ",340     ,6.2
CN0102900000000,01,029,"Cleburne County, AL",2015,"5,665     ","5,324     ",341     ,6.0
CN0103100000000,01,031,"Coffee County, AL",2015,"20,310     ","19,109     ","1,201     ",5.9
CN0103300000000,01,033,"Colbert County, AL",2015,"23,586     ","21,722     ","1,864     ",7.9
CN0103500000000,01,035,"Conecuh County, AL",2015,"4,674     ","4,245     ",429     ,9.2
CN0103700000000,01,037,"Coosa County, AL",2015,"4,431     ","4,133     ",298     ,6.7
CN0103900000000,01,039,"Covington County, AL",2015,"15,456     ","14,355     ","1,101     ",7.1
CN0104100000000,01,041,"Crenshaw County, AL",2015,"6,352     ","5,970     ",382     ,6.0
CN0104300000000,01,043,"Cullman County, AL",2015,"36,181     ","34,273     ","1,908     ",5.3
CN0104500000000,01,045,"Dale County, AL",2015,"19,758     ","18,503     ","1,255     ",6.4
CN0104700000000,01,047,"Dallas County, AL",2015,"15,566     ","14,064     ","1,502     ",9.6
CN0104900000000,01,049,"DeKalb County, AL",2015,"28,858     ","27,118     ","1,740     ",6.0
CN0105100000000,01,051,"Elmore County, AL",2015,"36,075     ","34,236     ","1,839     ",5.1
CN0105300000000,01,053,"Escambia County, AL",2015,"14,575     ","13,555     ","1,020     ",7.0
CN0105500000000,01,055,"Etowah County, AL",2015,"43,203     ","40,559     ","2,644     ",6.1
CN0105700000000,01,057,"Fayette County, AL",2015,"6,396     ","5,948     ",448     ,7.0
CN0105900000000,01,059,"Franklin County, AL",2015,"13,615     ","12,744     ",871     ,6.4
CN0106100000000,01,061,"Geneva County, AL",2015,"10,806     ","10,173     ",633     ,5.9
CN0106300000000,01,063,"Greene County, AL",2015,"2,895     ","2,576     ",319     ,11.0
CN0106500000000,01,065,"Hale County, AL",2015,"6,102     ","5,624     ",478     ,7.8
CN0106700000000,01,067,"Henry County, AL",2015,"6,735     ","6,279     ",456     ,6.8
CN0106900000000,01,069,"Houston County, AL",2015,"44,743     ","41,978     ","2,765     ",6.2
CN0107100000000,01,071,"Jackson County, AL",2015,"23,512     ","21,963     ","1,549     ",6.6
CN0107300000000,01,073,"Jefferson County, AL",2015,"309,229     ","291,303     ","17,926     ",5.8
