                               Labor Force Data by County, 2017 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2017        25,909       24,908      1,001      3.9
CN0100300000000   01     003   Baldwin County, AL                                2017        91,567       87,915      3,652      4.0
CN0100500000000   01     005   Barbour County, AL                                2017         8,236        7,750        486      5.9
CN0100700000000   01     007   Bibb County, AL                                   2017         8,506        8,133        373      4.4
CN0100900000000   01     009   Blount County, AL                                 2017        24,494       23,509        985      4.0
CN0101100000000   01     011   Bullock County, AL                                2017         4,812        4,575        237      4.9
CN0101300000000   01     013   Butler County, AL                                 2017         8,946        8,455        491      5.5
CN0101500000000   01     015   Calhoun County, AL                                2017        45,582       43,333      2,249      4.9
CN0101700000000   01     017   Chambers County, AL                               2017        15,176       14,557        619      4.1
CN0101900000000   01     019   Cherokee County, AL                               2017        11,174       10,721        453      4.1
CN0102100000000   01     021   Chilton County, AL                                2017        19,118       18,344        774      4.0
CN0102300000000   01     023   Choctaw County, AL                                2017         4,336        4,059        277      6.4
CN0102500000000   01     025   Clarke County, AL                                 2017         7,720        7,065        655      8.5
CN0102700000000   01     027   Clay County, AL                                   2017         5,721        5,471        250      4.4
CN0102900000000   01     029   Cleburne County, AL                               2017         5,742        5,486        256      4.5
CN0103100000000   01     031   Coffee County, AL                                 2017        20,671       19,764        907      4.4
CN0103300000000   01     033   Colbert County, AL                                2017        23,092       21,889      1,203      5.2
CN0103500000000   01     035   Conecuh County, AL                                2017         4,446        4,173        273      6.1
CN0103700000000   01     037   Coosa County, AL                                  2017         4,348        4,147        201      4.6
CN0103900000000   01     039   Covington County, AL                              2017        15,646       14,826        820      5.2
CN0104100000000   01     041   Crenshaw County, AL                               2017         6,417        6,130        287      4.5
CN0104300000000   01     043   Cullman County, AL                                2017        37,637       36,239      1,398      3.7
CN0104500000000   01     045   Dale County, AL                                   2017        19,868       18,987        881      4.4
CN0104700000000   01     047   Dallas County, AL                                 2017        14,935       13,811      1,124      7.5
CN0104900000000   01     049   DeKalb County, AL                                 2017        29,038       27,734      1,304      4.5
CN0105100000000   01     051   Elmore County, AL                                 2017        37,236       35,880      1,356      3.6
CN0105300000000   01     053   Escambia County, AL                               2017        14,352       13,630        722      5.0
CN0105500000000   01     055   Etowah County, AL                                 2017        42,894       40,932      1,962      4.6
CN0105700000000   01     057   Fayette County, AL                                2017         6,529        6,220        309      4.7
CN0105900000000   01     059   Franklin County, AL                               2017        13,960       13,369        591      4.2
CN0106100000000   01     061   Geneva County, AL                                 2017        10,817       10,355        462      4.3
CN0106300000000   01     063   Greene County, AL                                 2017         2,833        2,616        217      7.7
CN0106500000000   01     065   Hale County, AL                                   2017         6,007        5,653        354      5.9
CN0106700000000   01     067   Henry County, AL                                  2017         6,697        6,371        326      4.9
CN0106900000000   01     069   Houston County, AL                                2017        44,411       42,484      1,927      4.3
CN0107100000000   01     071   Jackson County, AL                                2017        23,066       21,966      1,100      4.8
CN0107300000000   01     073   Jefferson County, AL                              2017       309,076      295,970     13,106      4.2
CN0107500000000   01     075   Lamar County, AL                                  2017         5,703        5,462        241      4.2
CN0107700000000   01     077   Lauderdale County, AL                             2017        41,868       39,937      1,931      4.6
CN0107900000000   01     079   Lawrence County, AL                               2017        13,640       12,974        666      4.9
CN0108100000000   01     081   Lee County, AL                                    2017        73,520       70,643      2,877      3.9
CN0108300000000   01     083   Limestone County, AL                              2017        41,092       39,457      1,635      4.0
CN0108500000000   01     085   Lowndes County, AL                                2017         3,750        3,450        300      8.0
CN0108700000000   01     087   Macon County, AL                                  2017         7,892        7,436        456      5.8
CN0108900000000   01     089   Madison County, AL                                2017       175,153      168,412      6,741      3.8
CN0109100000000   01     091   Marengo County, AL                                2017         7,623        7,192        431      5.7
CN0109300000000   01     093   Marion County, AL                                 2017        12,517       11,918        599      4.8
CN0109500000000   01     095   Marshall County, AL                               2017        42,108       40,506      1,602      3.8
CN0109700000000   01     097   Mobile County, AL                                 2017       186,239      176,587      9,652      5.2
CN0109900000000   01     099   Monroe County, AL                                 2017         7,165        6,682        483      6.7
CN0110100000000   01     101   Montgomery County, AL                             2017       105,505      100,964      4,541      4.3
CN0110300000000   01     103   Morgan County, AL                                 2017        54,840       52,588      2,252      4.1
CN0110500000000   01     105   Perry County, AL                                  2017         3,402        3,132        270      7.9
CN0110700000000   01     107   Pickens County, AL                                2017         7,783        7,371        412      5.3
CN0110900000000   01     109   Pike County, AL                                   2017        15,238       14,495        743      4.9
CN0111100000000   01     111   Randolph County, AL                               2017         9,373        8,961        412      4.4
CN0111300000000   01     113   Russell County, AL                                2017        23,457       22,449      1,008      4.3
CN0111500000000   01     115   St. Clair County, AL                              2017        38,946       37,400      1,546      4.0
CN0111700000000   01     117   Shelby County, AL                                 2017       109,331      105,804      3,527      3.2
CN0111900000000   01     119   Sumter County, AL                                 2017         5,016        4,688        328      6.5
CN0112100000000   01     121   Talladega County, AL                              2017        34,501       32,789      1,712      5.0
CN0112300000000   01     123   Tallapoosa County, AL                             2017        18,279       17,519        760      4.2
CN0112500000000   01     125   Tuscaloosa County, AL                             2017        99,237       95,127      4,110      4.1
CN0112700000000   01     127   Walker County, AL                                 2017        25,145       23,883      1,262      5.0
CN0112900000000   01     129   Washington County, AL                             2017         6,656        6,201        455      6.8
CN0113100000000   01     131   Wilcox County, AL                                 2017         2,808        2,488        320     11.4
CN0113300000000   01     133   Winston County, AL                                2017         9,646        9,164        482      5.0
CN0201300000000   02     013   Aleutians East Borough, AK                        2017         2,584        2,519         65      2.5
CN0201600000000   02     016   Aleutians West Census Area, AK                    2017         3,861        3,721        140      3.6
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2017       155,462      146,175      9,287      6.0
CN0205000000000   02     050   Bethel Census Area, AK                            2017         7,445        6,418      1,027     13.8
CN0206000000000   02     060   Bristol Bay Borough, AK                           2017           426          399         27      6.3
CN0206800000000   02     068   Denali Borough, AK                                2017         1,130        1,024        106      9.4
CN0207000000000   02     070   Dillingham Census Area, AK                        2017         2,055        1,864        191      9.3
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2017        46,708       43,768      2,940      6.3
CN0210000000000   02     100   Haines Borough, AK                                2017         1,089          990         99      9.1
CN0210500000000   02     105   Hoonah-Angoon Census Area, AK                     2017         1,140          996        144     12.6
CN0211000000000   02     110   Juneau Borough/city, AK                           2017        17,435       16,607        828      4.7
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2017        27,095       24,795      2,300      8.5
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2017         7,104        6,656        448      6.3
CN0215000000000   02     150   Kodiak Island Borough, AK                         2017         6,447        6,118        329      5.1
CN0215800000000   02     158   Kusilvak Census Area, AK                          2017         2,805        2,242        563     20.1
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2017           723          637         86     11.9
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2017        47,397       43,292      4,105      8.7
CN0218000000000   02     180   Nome Census Area, AK                              2017         4,089        3,575        514     12.6
CN0218500000000   02     185   North Slope Borough, AK                           2017         3,670        3,397        273      7.4
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2017         2,961        2,463        498     16.8
CN0219500000000   02     195   Petersburg Borough, AK                            2017         1,413        1,281        132      9.3
CN0219800000000   02     198   Prince of Wales-Hyder Census Area, AK             2017         2,836        2,512        324     11.4
CN0222000000000   02     220   Sitka Borough/city, AK                            2017         4,449        4,241        208      4.7
CN0223000000000   02     230   Skagway Municipality, AK                          2017           824          737         87     10.6
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2017         2,969        2,659        310     10.4
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2017         4,898        4,508        390      8.0
CN0227500000000   02     275   Wrangell Borough/city, AK                         2017         1,050          969         81      7.7
CN0228200000000   02     282   Yakutat Borough/city, AK                          2017           235          213         22      9.4
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2017         2,486        2,032        454     18.3
CN0400100000000   04     001   Apache County, AZ                                 2017        20,419       18,292      2,127     10.4
CN0400300000000   04     003   Cochise County, AZ                                2017        49,373       46,602      2,771      5.6
CN0400500000000   04     005   Coconino County, AZ                               2017        75,381       71,195      4,186      5.6
CN0400700000000   04     007   Gila County, AZ                                   2017        21,362       20,067      1,295      6.1
CN0400900000000   04     009   Graham County, AZ                                 2017        14,423       13,638        785      5.4
CN0401100000000   04     011   Greenlee County, AZ                               2017         3,992        3,788        204      5.1
CN0401200000000   04     012   La Paz County, AZ                                 2017         8,681        8,214        467      5.4
CN0401300000000   04     013   Maricopa County, AZ                               2017     2,134,987    2,045,885     89,102      4.2
CN0401500000000   04     015   Mohave County, AZ                                 2017        82,407       77,579      4,828      5.9
CN0401700000000   04     017   Navajo County, AZ                                 2017        41,337       38,206      3,131      7.6
CN0401900000000   04     019   Pima County, AZ                                   2017       475,622      454,292     21,330      4.5
CN0402100000000   04     021   Pinal County, AZ                                  2017       168,806      160,333      8,473      5.0
CN0402300000000   04     023   Santa Cruz County, AZ                             2017        19,001       17,194      1,807      9.5
CN0402500000000   04     025   Yavapai County, AZ                                2017       101,763       97,180      4,583      4.5
CN0402700000000   04     027   Yuma County, AZ                                   2017        95,167       78,942     16,225     17.0
CN0500100000000   05     001   Arkansas County, AR                               2017         9,013        8,719        294      3.3
CN0500300000000   05     003   Ashley County, AR                                 2017         7,695        7,254        441      5.7
CN0500500000000   05     005   Baxter County, AR                                 2017        16,401       15,707        694      4.2
CN0500700000000   05     007   Benton County, AR                                 2017       132,496      128,647      3,849      2.9
CN0500900000000   05     009   Boone County, AR                                  2017        15,821       15,278        543      3.4
CN0501100000000   05     011   Bradley County, AR                                2017         4,379        4,174        205      4.7
CN0501300000000   05     013   Calhoun County, AR                                2017         2,361        2,268         93      3.9
CN0501500000000   05     015   Carroll County, AR                                2017        13,097       12,666        431      3.3
CN0501700000000   05     017   Chicot County, AR                                 2017         3,505        3,276        229      6.5
CN0501900000000   05     019   Clark County, AR                                  2017         9,470        9,093        377      4.0
CN0502100000000   05     021   Clay County, AR                                   2017         5,908        5,639        269      4.6
CN0502300000000   05     023   Cleburne County, AR                               2017         9,351        8,893        458      4.9
CN0502500000000   05     025   Cleveland County, AR                              2017         3,315        3,170        145      4.4
CN0502700000000   05     027   Columbia County, AR                               2017         9,115        8,655        460      5.0
CN0502900000000   05     029   Conway County, AR                                 2017         8,281        7,889        392      4.7
CN0503100000000   05     031   Craighead County, AR                              2017        53,733       52,132      1,601      3.0
CN0503300000000   05     033   Crawford County, AR                               2017        26,688       25,743        945      3.5
CN0503500000000   05     035   Crittenden County, AR                             2017        21,807       20,871        936      4.3
CN0503700000000   05     037   Cross County, AR                                  2017         7,724        7,417        307      4.0
CN0503900000000   05     039   Dallas County, AR                                 2017         2,881        2,751        130      4.5
CN0504100000000   05     041   Desha County, AR                                  2017         5,453        5,191        262      4.8
CN0504300000000   05     043   Drew County, AR                                   2017         7,846        7,441        405      5.2
CN0504500000000   05     045   Faulkner County, AR                               2017        61,288       59,253      2,035      3.3
CN0504700000000   05     047   Franklin County, AR                               2017         7,439        7,181        258      3.5
CN0504900000000   05     049   Fulton County, AR                                 2017         4,732        4,533        199      4.2
CN0505100000000   05     051   Garland County, AR                                2017        40,424       38,805      1,619      4.0
CN0505300000000   05     053   Grant County, AR                                  2017         8,371        8,104        267      3.2
